TA	6-10_SP_Input1_S13	6-10_SP_Input2_S14	6-10_SP_input3_S15	6-10_SP_ctrl1_S16	6-10_SP_ctrl2_S17	6-10_SP_ctrl3_S18	6-10_SP_CI1_S19	6-10_SP_CI2_S20	6-10_SP_CI3_S21	6-10_SP_RI1_S22	6-10_SP_RI2_S23	6-10_SP_RI3_S24
301401	10327	10184	9356	6813	4728	7028	3501	3517	4049	8274	6771	7408
2758306	10449	10320	10686	13982	11948	15829	12069	11827	14514	8780	3225	9432
3886523	10664	10249	11997	9338	16045	9659	6458	10193	8336	7949	5051	7346
3178427	10906	10188	9586	6068	6595	7787	3100	4210	3144	4208	2154	5112
852235	10978	10541	9921	67086	96898	75136	4651	6662	4943	17826	16029	18827
2401078	10982	10841	11652	10833	11603	11114	10694	13477	12884	11426	9112	5609
1143465	11111	11333	13396	6886	5187	6995	6942	6970	6993	5298	5730	4395
769924	11143	10405	9377	9555	12438	11254	12404	12068	9660	12183	4622	7216
544690	11199	10373	9769	6644	8465	7345	4628	4730	4043	10030	11566	5578
365549	11302	11055	12491	10457	14302	12131	8835	12912	9889	10496	9802	7517
4323568	11479	10909	14531	11024	12672	13717	14724	12975	12298	11454	18674	4983
915926	11510	11521	8494	9051	9611	11434	7427	10274	9060	6493	7088	8106
1589442	11631	11216	11297	11675	13337	14353	12589	13942	12697	9814	7441	7080
137349	11747	11633	11056	8579	6915	10931	5152	6580	5941	7391	12738	7557
367338	11749	12193	12816	12806	12595	13448	11892	14115	12771	7063	12565	8935
140137	11817	12328	12552	12668	12997	15797	8821	13936	11754	5904	8486	7944
2815878	11834	11941	11278	8904	9417	9544	5134	6369	5830	10893	10884	11602
2527615	11891	11842	14645	10789	19948	15161	10602	14858	12528	9940	16287	8095
3941689	11935	11652	13328	12913	16695	14735	11618	14564	11368	18181	6680	10751
2340122	11939	11496	11888	12146	10100	16489	8881	10296	11707	7427	7671	8888
2084046	11944	11502	11929	13518	12684	12687	11263	11667	11297	12494	17843	5783
2020079	12534	12353	13814	16049	28631	17733	15416	16915	16148	11645	8777	9239
2016955	12560	12075	14003	16043	28593	17804	15624	16851	15932	11793	8748	9264
3013523	12659	11808	11358	11615	12015	15719	11999	11202	14133	9302	7500	5858
4177537	12699	12982	15585	14456	14079	15766	11641	15978	12766	7458	15803	8095
36173	12787	12258	10215	10257	12986	10090	9247	11092	8657	10497	3656	6960
114593	12899	12771	10951	11127	18470	11632	9450	11367	8242	9890	7952	8113
743892	12899	12457	13115	9600	12876	10790	6598	7142	7383	9929	5237	7144
383775	13088	12481	12807	12711	21914	14241	9371	12672	11240	14876	11750	11946
3954146	13225	12793	12333	11332	18777	13432	11072	14608	12533	8237	12995	7149
486080	13412	12968	11408	12861	9800	13386	10363	14392	12149	24787	15557	8958
1023741	13744	13512	11510	14125	17975	16234	10285	15574	12096	9648	11214	6176
2095133	14125	13896	15229	18274	20311	20477	10887	10106	11604	14424	8776	5022
868408	14141	14568	16679	15099	21726	14833	13091	14112	13234	17947	5623	9502
2041961	14822	14442	16349	44533	46064	45991	80782	77185	75823	25459	12533	18554
1839331	15062	15065	17097	14558	16351	16897	11135	16046	12811	12067	10150	11577
3151023	15307	15263	16330	15522	28447	17481	12935	17102	14928	16192	21812	11157
830825	15314	15909	16757	16493	24111	18684	14283	19246	15562	17181	10251	8618
231385	15516	15864	17463	17832	20074	19688	14146	17354	16254	11727	15865	10130
178094	15546	14777	13392	12620	13537	14689	11923	15845	12390	10566	7165	9661
115865	15695	14824	16730	15683	18515	19058	14309	18226	13930	14668	23940	11485
1337068	15715	15081	16466	15215	13318	17117	13148	14447	15016	10768	29259	8907
4165288	15936	15863	18363	17695	22653	19711	13892	18712	14835	16677	5233	14241
3452230	16083	16043	20213	13073	14643	16121	12620	14822	12001	14383	23353	9298
1614285	16211	15655	12679	12118	19286	14440	9901	14957	11039	12019	11572	7904
1149362	16228	15813	19206	16933	20190	19854	21093	23411	21656	16843	13905	16463
2940997	16305	15358	17207	18371	17836	20749	5458	5666	8331	21942	13347	10632
1582182	16424	16172	14314	15258	17553	15052	23534	22646	22057	21761	19584	15049
3827301	16443	15558	17474	16901	21338	19596	14694	22938	16680	16461	16713	13635
2602299	16928	16843	16898	15713	11332	19385	15162	16973	14377	19565	13351	10920
2126698	16986	16471	20505	14480	12497	18033	8238	12592	11260	13736	6715	8715
4080373	17037	17425	16090	13661	13340	15495	12150	13100	15765	7741	15847	7505
4269476	17065	17218	19035	16251	15015	18667	12945	17492	13375	17917	16785	10207
2041579	17090	16742	15145	43739	46439	44988	81614	73027	72817	19117	24730	16943
1027769	17107	17232	18752	18393	26454	22546	15329	15982	14464	10678	28069	22293
1065697	17250	16802	19405	7455	6155	10777	5591	3033	3866	4528	2172	3979
257847	17301	16672	17427	19601	21588	20907	16388	21507	16550	18394	17598	7439
2084696	17384	17163	16628	15425	20091	16818	13489	18618	14354	12403	23791	15363
670832	17568	17099	18287	17827	24470	20071	13010	19087	17136	14061	22409	14812
1354715	17928	17375	20623	17694	19681	15744	26191	20691	21176	8725	9948	9754
3903496	18106	17726	17355	18219	31050	20693	13224	20379	15933	9634	16002	8373
3896739	18353	17603	16087	15630	18018	16956	16741	19315	14689	15387	15361	11408
1527458	18368	17839	19282	16012	21327	19673	14165	16433	15604	16929	10208	11974
475940	18707	17858	18750	18450	31932	21485	18882	24936	18180	15931	7601	10282
1728753	18912	18714	21634	21723	21584	24139	20616	21249	18936	15373	18843	16905
3357438	18929	18874	19753	17577	18212	20125	17239	22596	18951	8287	24222	9879
2550411	19084	19419	16349	16708	17509	18613	14826	19274	17575	16315	13648	9671
426518	19097	18647	15664	15277	19178	17633	15393	17758	14014	10150	22164	11916
562324	19392	18664	18962	18842	15518	21797	20572	19045	16124	22034	10789	11763
702034	19411	19312	15504	17068	27816	17532	13541	16133	14715	17284	23474	15589
223427	19710	19927	16870	17754	22136	18710	16296	19113	17580	13080	16172	11619
3731656	19931	18495	20725	17179	20253	20735	14425	21400	17317	14286	9779	12046
4038898	20200	20313	23806	21674	23058	24200	15837	22668	17764	13471	13196	14389
3102298	20754	22698	27636	25246	30994	28864	26906	32151	22199	22774	30934	18156
231081	20876	21128	20419	21692	23225	23543	18088	23298	19159	19886	25321	16817
2782225	20885	20480	23812	20322	32522	21293	17304	21865	18574	28049	10464	11294
171909	21057	20733	22444	18674	18812	19150	14550	23320	17855	18369	15639	15265
1562837	21306	21310	18613	19341	24329	22046	15651	19883	21297	20770	24820	15981
2575914	21356	21312	25347	22237	24729	25194	20431	26786	20936	27161	15380	19064
718684	21629	20722	28481	22313	32749	23670	19252	23354	19087	10912	24469	15463
3892753	21775	21805	22079	18977	21845	20289	15550	22240	18782	13666	15290	13684
658617	21946	20876	22788	21991	19787	22013	22148	22159	20972	13594	10408	9871
3295598	21980	21288	22031	20916	22277	24084	20088	23201	20978	15751	13344	17664
1586557	22015	21419	21483	22779	24928	27019	23130	22503	21117	25644	20456	17680
1799340	22041	21557	27342	24661	24668	25102	26396	20753	19620	20046	14314	10501
3150846	22156	21654	23666	22259	38263	24759	23615	24283	20397	11833	17753	15401
3655722	22175	20900	22303	21741	29117	24621	21196	32808	18086	17228	24105	19302
315224	22249	21780	23589	15772	18814	17156	14206	20809	14821	14571	28634	12141
4287283	22768	22521	22929	22697	26696	24166	19394	23234	19915	23571	17963	17237
274022	23196	22675	18467	19481	25224	20400	14948	19604	17278	12295	19583	15668
2072464	23288	23298	24509	22767	21498	26234	18225	23639	18888	19277	23680	14001
1412697	23384	23225	24046	21160	29310	23934	19192	21837	19445	22568	17203	18120
2891376	23410	22394	29986	24241	26931	26894	17512	23745	21378	22015	21572	11704
760335	23467	23320	22596	21580	24059	23370	22472	25765	23455	16931	9051	9955
3535205	23665	22430	22938	24882	20995	25812	21876	26277	21667	17892	17018	18463
2129211	23915	23167	24441	25806	21316	27780	23217	20839	19318	15505	26962	27617
2328820	24706	24824	25995	25586	27044	27457	20341	31424	23914	19281	23807	22348
3973653	24748	24226	27381	144151	177124	171463	69863	76488	67752	31983	29768	39002
291393	24848	24664	21601	35207	39411	37052	24243	31215	26500	21599	9979	18230
3594280	25002	25014	23668	26295	32090	31538	23766	27074	21162	15082	20241	11745
2439677	25055	24530	22057	22449	21049	27650	19766	20957	18534	26098	16359	15147
2445923	25304	26041	24908	27811	38760	29948	24164	28706	27861	24700	28249	19387
481556	25387	24511	22761	21958	21933	25812	18568	29055	21429	32413	20854	12738
4354899	26086	25677	26487	21810	33807	27128	16956	23529	21159	16979	18279	20574
2525251	26333	26176	29921	25625	35911	29417	20527	25889	22987	21815	23258	23110
1533281	26627	26186	23475	23222	24856	25221	22677	26605	20470	22168	38965	16171
1542918	26836	26653	23238	22867	27932	27720	20112	21574	19806	20096	27396	19649
4343509	26881	25706	28898	32076	45400	35694	31321	41354	36479	22932	16591	23717
3541464	27573	27439	23715	25724	23256	28183	22885	25531	23509	19664	23327	17199
80328	27745	26455	26896	21922	21721	24413	21802	26289	20203	16487	16007	16935
116754	28172	26914	28475	25944	27499	27854	26190	28206	21627	17320	21520	16867
2214028	28199	26584	27052	24845	21942	29035	19484	24220	25243	24550	11873	20062
428341	28212	27581	24334	21305	21446	26225	20334	26990	21598	17541	28234	15646
4171671	29013	28941	25798	22060	25688	24860	18108	25812	20907	24106	14711	17781
1006455	29887	28809	31028	36955	51376	39443	31638	31618	25366	24282	27527	22075
821240	30248	30167	27302	26434	36880	29165	21703	34065	21791	20564	15263	18355
1072532	30486	29699	34733	31724	34995	36010	26461	35288	34838	32694	18241	34759
863204	31541	30715	25538	28718	30648	33011	23105	30133	25641	23192	16447	21227
3883203	31598	31759	30655	31010	35360	35332	31718	35286	28508	25038	35355	23195
1689457	32279	32577	31486	29956	22094	33273	27199	31959	29424	23609	34136	19800
1598361	32406	31729	34222	31529	39050	35238	26235	31360	28119	25357	24990	20214
1572668	33108	32163	32205	25971	31650	30395	16496	26073	18911	31713	50153	23502
2258759	33440	32157	29647	24114	39679	28836	21595	27524	21715	26292	12708	21056
3661068	33587	32648	32608	29536	32053	34535	27208	33502	29853	27467	13697	25055
3880230	34427	33703	32853	29683	41980	35533	27337	34250	30288	28684	55449	18283
2195293	37818	37873	32272	34435	38507	40237	32424	36118	31616	65875	22226	32057
3936819	37897	37356	42438	34513	49523	43396	38504	42948	33469	30197	30875	39365
2485514	37924	37104	38253	36106	50979	39418	31481	34652	30192	38938	44732	39062
1378175	41880	41489	46588	45484	42128	54524	52227	47660	62426	55988	55060	52128
4178875	43051	42338	41900	36536	38578	40348	33744	39566	30092	32099	40771	29236
1269339	43271	41855	40621	39993	50748	46555	35212	41679	35666	32150	20308	28056
1755373	43967	43888	41198	42452	47622	47240	35152	42623	35643	35885	39121	36931
3715258	47783	46984	45064	43346	50901	50458	43140	51178	36739	42397	35353	31890
3911492	50078	49868	38309	39736	42853	43008	32104	43295	36233	24770	33345	29719
2998469	50291	48054	54299	27370	34122	35233	10005	12110	12388	28506	25537	15468
1480360	50803	48788	49173	51593	53978	58841	43967	54718	48163	52947	46401	30645
1701496	51516	50049	47231	47215	54352	55641	47051	52658	44065	42111	63581	31714
2122177	55816	55800	56750	53713	52962	62942	44736	55052	49808	33341	57093	34335
2213962	72011	70805	73156	65519	58529	75800	56389	64562	59144	61004	54165	43537
2307678	78282	75552	75391	67438	131218	77124	45132	50182	45327	56352	96271	66359
