TA position	Plate	Row	Column	Well Hits	Location	Annotation
4287283	10	C	1	1	gene	ID=gene4198;Name=ERDMAN_4199;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4199
3529281	10	C	2	1	intergenic/unannotated	NA
1614396	10	C	3	1	gene	ID=gene1600;Name=bisC;gbkey=Gene;gene=bisC;gene_biotype=protein_coding;locus_tag=ERDMAN_1601
361099	10	C	4	1	gene	ID=gene329;Name=ERDMAN_0330;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0330
1095948	10	C	5	1	gene	ID=gene1090;Name=mprA;gbkey=Gene;gene=mprA;gene_biotype=protein_coding;locus_tag=ERDMAN_1091
2366068	10	C	6	1	gene	ID=gene2328;Name=ERDMAN_2329;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2329
595235	10	C	7	1	gene	ID=gene550;Name=ERDMAN_0551;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0551
1484900	10	C	9	1	gene	ID=gene1478;Name=ERDMAN_1479;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1479
3272180	10	C	10	1	gene	ID=gene3222;Name=fadD28;gbkey=Gene;gene=fadD28;gene_biotype=protein_coding;locus_tag=ERDMAN_3223
1006455	10	C	11	1	gene	ID=gene1000;Name=ERDMAN_1001;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1001
291393	10	C	12	1	intergenic/unannotated	NA
3298967	10	D	1	1	gene	ID=gene3238;Name=ERDMAN_3239;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3239
3295598	10	D	2	1	gene	ID=gene3235;Name=ERDMAN_3236;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3236
3004201	10	D	3	1	gene	ID=gene2964;Name=ppgK;gbkey=Gene;gene=ppgK;gene_biotype=protein_coding;locus_tag=ERDMAN_2965
2267517	10	D	5	1	gene	ID=gene2236;Name=ERDMAN_2237;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2237
2959694	10	D	6	1	gene	ID=gene2910;Name=ERDMAN_2911;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2911
1149362	10	D	7	1	gene	ID=gene1144;Name=kdpD;gbkey=Gene;gene=kdpD;gene_biotype=protein_coding;locus_tag=ERDMAN_1145
850272	10	D	8	1	gene	ID=gene835;Name=ERDMAN_0836;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0836
3529028	10	D	9	1	intergenic/unannotated	NA
137349	10	D	10	1	gene	ID=gene131;Name=ERDMAN_0132;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0132
1728832	10	D	11	1	gene	ID=gene1710;Name=ERDMAN_1711;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1711
2126698	10	D	12	1	intergenic/unannotated	NA
3233470	10	E	2	1	gene	ID=gene3210;Name=fadD26;gbkey=Gene;gene=fadD26;gene_biotype=protein_coding;locus_tag=ERDMAN_3211
3755636	10	E	3	1	gene	ID=gene3680;Name=ERDMAN_3681;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3681
2059419	10	E	4	1	gene	ID=gene2010;Name=secA2;gbkey=Gene;gene=secA2;gene_biotype=protein_coding;locus_tag=ERDMAN_2011
481556	10	E	5	1	gene	ID=gene442;Name=mmpL1;gbkey=Gene;gene=mmpL1;gene_biotype=protein_coding;locus_tag=ERDMAN_0443
3418033	10	E	6	1	gene	ID=gene3356;Name=ERDMAN_3357;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3357
2998469	10	E	8	1	gene	ID=gene2956;Name=ERDMAN_2957;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2957
2815878	10	E	9	1	intergenic/unannotated	NA
116754	10	E	10	1	intergenic/unannotated	NA
1703526	10	E	11	1	intergenic/unannotated	NA
614583	10	E	12	1	intergenic/unannotated	NA
568127	10	F	1	1	gene	ID=gene520;Name=hbhA;gbkey=Gene;gene=hbhA;gene_biotype=protein_coding;locus_tag=ERDMAN_0521
658617	10	F	2	1	gene	ID=gene617;Name=ERDMAN_0618;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0618
2001676	10	F	3	1	gene	ID=gene1964;Name=ERDMAN_1965;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1965
4121427	10	F	4	1	gene	ID=gene4050;Name=ERDMAN_4051;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4051
96839	10	F	6	1	gene	ID=gene104;Name=ERDMAN_0105;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0105
311576	10	F	7	1	gene	ID=gene287;Name=ERDMAN_0288;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0288
1165977	10	F	8	1	intergenic/unannotated	NA
543244	10	F	9	1	gene	ID=gene493;Name=mmpS4;gbkey=Gene;gene=mmpS4;gene_biotype=protein_coding;locus_tag=ERDMAN_0494
1810286	10	F	10	1	gene	ID=gene1784;Name=cya;gbkey=Gene;gene=cya;gene_biotype=protein_coding;locus_tag=ERDMAN_1785
114593	10	F	11	1	gene	ID=gene117;Name=nrp;gbkey=Gene;gene=nrp;gene_biotype=protein_coding;locus_tag=ERDMAN_0118
2328820	10	G	1	1	gene	ID=gene2289;Name=ERDMAN_2290;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2290
3013523	10	G	2	1	gene	ID=gene2974;Name=sthA;gbkey=Gene;gene=sthA;gene_biotype=protein_coding;locus_tag=ERDMAN_2975
3594754	10	G	3	1	gene	ID=gene3544;Name=pvdS;gbkey=Gene;gene=pvdS;gene_biotype=protein_coding;locus_tag=ERDMAN_3545
551129	10	G	4	1	gene	ID=gene501;Name=ERDMAN_0502;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0502
2344536	10	G	5	1	gene	ID=gene2308;Name=ERDMAN_2309;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2309
2334118	10	G	6	2	gene	ID=gene2297;Name=ERDMAN_2298;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2298
2336706	10	G	6	2	gene	ID=gene2300;Name=ERDMAN_2301;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2301
1442002	10	G	7	2	intergenic/unannotated	NA
1442058	10	G	7	2	gene	ID=gene1439;Name=ERDMAN_1440;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1440
821359	10	G	8	1	intergenic/unannotated	NA
83365	10	G	9	1	gene	ID=gene89;Name=ERDMAN_0090;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0090
4017382	10	G	10	1	gene	ID=gene3941;Name=ERDMAN_3942;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3942
3594280	10	G	11	1	gene	ID=gene3544;Name=pvdS;gbkey=Gene;gene=pvdS;gene_biotype=protein_coding;locus_tag=ERDMAN_3545
401534	10	G	12	2	gene	ID=gene370;Name=ERDMAN_0371;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0371
609118	10	G	12	2	gene	ID=gene564;Name=ERDMAN_0565;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0565
4343509	10	H	1	1	gene	ID=gene4257;Name=ERDMAN_4258;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4258
2016955	10	H	2	2	gene	ID=gene1975;Name=PPE25;gbkey=Gene;gene=PPE25;gene_biotype=protein_coding;locus_tag=ERDMAN_1976
2020079	10	H	2	2	gene	ID=gene1978;Name=PPE27;gbkey=Gene;gene=PPE27;gene_biotype=protein_coding;locus_tag=ERDMAN_1979
881051	10	H	3	1	gene	ID=gene868;Name=ERDMAN_0869;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0869
3662309	10	H	5	1	gene	ID=gene3611;Name=lhr;gbkey=Gene;gene=lhr;gene_biotype=protein_coding;locus_tag=ERDMAN_3612
3892753	10	H	7	1	gene	ID=gene3819;Name=ERDMAN_3820;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3820
2000189	10	H	8	1	gene	ID=gene1962;Name=ERDMAN_1963;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1963
3009590	10	H	9	1	gene	ID=gene2971;Name=sigB;gbkey=Gene;gene=sigB;gene_biotype=protein_coding;locus_tag=ERDMAN_2972
2108643	10	H	11	1	gene	ID=gene2059;Name=ERDMAN_2060;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2060
2587183	10	H	12	1	gene	ID=gene2551;Name=narK1;gbkey=Gene;gene=narK1;gene_biotype=protein_coding;locus_tag=ERDMAN_2552
2680920	11	A	1	1	gene	ID=gene2630;Name=ERDMAN_2631;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2631
2127099	11	A	2	1	gene	ID=gene2078;Name=ERDMAN_2079;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2079
3419130	11	A	3	1	gene	ID=gene3358;Name=pgmA;gbkey=Gene;gene=pgmA;gene_biotype=protein_coding;locus_tag=ERDMAN_3359
3909836	11	A	4	1	gene	ID=gene3838;Name=mce4B;gbkey=Gene;gene=mce4B;gene_biotype=protein_coding;locus_tag=ERDMAN_3839
1274483	11	A	5	2	gene	ID=gene1285;Name=ERDMAN_1286;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1286
1890051	11	A	5	2	gene	ID=gene1847;Name=ERDMAN_1848;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1848
2684137	11	A	6	1	gene	ID=gene2634;Name=cysW;gbkey=Gene;gene=cysW;gene_biotype=protein_coding;locus_tag=ERDMAN_2635
1195785	11	A	7	1	gene	ID=gene1197;Name=ERDMAN_1198;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1198
2389267	11	A	8	1	gene	ID=gene2352;Name=uppP;gbkey=Gene;gene=uppP;gene_biotype=protein_coding;locus_tag=ERDMAN_2353
2670060	11	A	10	1	gene	ID=gene2622;Name=ERDMAN_2623;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2623
2573179	11	A	11	1	gene	ID=gene2536;Name=ERDMAN_2537;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2537
1877867	11	A	12	1	gene	ID=gene1833;Name=ERDMAN_1834;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1834
2521885	11	B	1	1	gene	ID=gene2481;Name=ERDMAN_2482;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2482
2462257	11	B	3	1	intergenic/unannotated	NA
4035576	11	B	4	1	gene	ID=gene3958;Name=ERDMAN_3959;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3959
1338328	11	B	5	1	gene	ID=gene1338;Name=PPE18;gbkey=Gene;gene=PPE18;gene_biotype=protein_coding;locus_tag=ERDMAN_1339
371652	11	B	6	1	gene	ID=gene338;Name=PPE5;gbkey=Gene;gene=PPE5;gene_biotype=protein_coding;locus_tag=ERDMAN_0339
40006	11	B	7	1	gene	ID=gene44;Name=ERDMAN_0045;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0045
1993799	11	B	8	1	intergenic/unannotated	NA
3939132	11	B	9	1	gene	ID=gene3859;Name=ERDMAN_3860;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3860
609792	11	B	10	1	gene	ID=gene565;Name=ERDMAN_0566;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0566
941735	11	B	11	1	intergenic/unannotated	NA
395936	11	B	12	1	gene	ID=gene364;Name=ERDMAN_0365;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0365
3544400	11	C	1	1	intergenic/unannotated	NA
3727257	11	C	2	1	gene	ID=gene3664;Name=PPE55;gbkey=Gene;gene=PPE55;gene_biotype=protein_coding;locus_tag=ERDMAN_3665
226414	11	C	3	1	gene	ID=gene219;Name=ERDMAN_0220;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0220
1362894	11	C	4	1	intergenic/unannotated	NA
3912176	11	C	6	1	gene	ID=gene3840;Name=yrbE4B;gbkey=Gene;gene=yrbE4B;gene_biotype=protein_coding;locus_tag=ERDMAN_3841
310834	11	C	7	1	gene	ID=gene287;Name=ERDMAN_0288;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0288
3630012	11	C	8	1	gene	ID=gene3578;Name=ERDMAN_3579;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3579
2916379	11	C	9	1	gene	ID=gene2858;Name=ERDMAN_2859;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2859
2489122	11	C	10	1	intergenic/unannotated	NA
3266657	11	C	11	1	gene	ID=gene3221;Name=mas;gbkey=Gene;gene=mas;gene_biotype=protein_coding;locus_tag=ERDMAN_3222
2560038	11	C	12	1	intergenic/unannotated	NA
1267971	11	D	1	1	gene	ID=gene1278;Name=echA10;gbkey=Gene;gene=echA10;gene_biotype=protein_coding;locus_tag=ERDMAN_1279
3972356	11	D	3	1	gene	ID=gene3896;Name=ERDMAN_3897;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3897
590777	11	D	4	1	gene	ID=gene545;Name=ERDMAN_0546;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0546
622853	11	D	5	1	gene	ID=gene580;Name=ERDMAN_0581;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0581
402430	11	D	6	1	gene	ID=gene371;Name=ERDMAN_0372;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0372
360510	11	D	7	1	gene	ID=gene329;Name=ERDMAN_0330;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0330
2123295	11	D	8	1	gene	ID=gene2073;Name=ERDMAN_2074;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2074
363502	11	D	9	1	intergenic/unannotated	NA
3288660	11	D	10	1	gene	ID=gene3230;Name=fadD22;gbkey=Gene;gene=fadD22;gene_biotype=protein_coding;locus_tag=ERDMAN_3231
3579148	11	D	11	1	gene	ID=gene3528;Name=ERDMAN_3529;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3529
1948846	11	D	12	1	gene	ID=gene1910;Name=narX;gbkey=Gene;gene=narX;gene_biotype=protein_coding;locus_tag=ERDMAN_1911
702395	11	E	1	1	gene	ID=gene664;Name=ERDMAN_0665;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0665
2466129	11	E	2	1	intergenic/unannotated	NA
1386885	11	E	3	1	gene	ID=gene1390;Name=ERDMAN_1391;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1391
1163702	11	E	4	2	gene	ID=gene1161;Name=ERDMAN_1162;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1162
1277261	11	E	4	2	gene	ID=gene1289;Name=ERDMAN_1290;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1290
1675411	11	E	5	1	gene	ID=gene1661;Name=mutA;gbkey=Gene;gene=mutA;gene_biotype=protein_coding;locus_tag=ERDMAN_1662
523481	11	E	6	1	gene	ID=gene476;Name=ERDMAN_0477;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0477
1728375	11	E	7	1	intergenic/unannotated	NA
1195244	11	E	8	2	gene	ID=gene1196;Name=ERDMAN_1197;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1197
2215833	11	E	8	2	gene	ID=gene2179;Name=nrdF;gbkey=Gene;gene=nrdF;gene_biotype=protein_coding;locus_tag=ERDMAN_2180
2389557	11	E	9	1	gene	ID=gene2352;Name=uppP;gbkey=Gene;gene=uppP;gene_biotype=protein_coding;locus_tag=ERDMAN_2353
490335	11	E	10	1	gene	ID=gene447;Name=pks6;gbkey=Gene;gene=pks6;gene_biotype=protein_coding;locus_tag=ERDMAN_0448
186915	11	E	11	1	gene	ID=gene183;Name=PE3;gbkey=Gene;gene=PE3;gene_biotype=protein_coding;locus_tag=ERDMAN_0184
1054283	11	E	12	1	gene	ID=gene1047;Name=ERDMAN_1048;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1048
2249822	11	F	1	1	gene	ID=gene2214;Name=ERDMAN_2215;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2215
3804740	11	F	2	1	gene	ID=gene3723;Name=ERDMAN_3724;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3724
1777988	11	F	3	1	gene	ID=gene1752;Name=ERDMAN_1753;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1753
3512658	11	F	5	1	gene	ID=gene3458;Name=nuoN;gbkey=Gene;gene=nuoN;gene_biotype=protein_coding;locus_tag=ERDMAN_3459
3463624	11	F	6	1	intergenic/unannotated	NA
4287207	11	F	7	1	gene	ID=gene4198;Name=ERDMAN_4199;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4199
3655125	11	F	8	1	gene	ID=gene3603;Name=usfY;gbkey=Gene;gene=usfY;gene_biotype=protein_coding;locus_tag=ERDMAN_3604
2998469	11	F	10	1	gene	ID=gene2956;Name=ERDMAN_2957;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2957
4355319	11	F	11	1	intergenic/unannotated	NA
3726409	11	F	12	2	gene	ID=gene3663;Name=ERDMAN_3664;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3664
3752713	11	F	12	2	gene	ID=gene3676;Name=ERDMAN_3677;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3677
2116366	11	G	1	1	gene	ID=gene2067;Name=bfrA;gbkey=Gene;gene=bfrA;gene_biotype=protein_coding;locus_tag=ERDMAN_2068
438721	11	G	2	1	gene	ID=gene399;Name=ERDMAN_0400;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0400
230778	11	G	3	1	gene	ID=gene221;Name=ERDMAN_0222;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0222
2617537	11	G	4	1	gene	ID=gene2580;Name=plcA;gbkey=Gene;gene=plcA;gene_biotype=protein_coding;locus_tag=ERDMAN_2581
612894	11	G	5	1	gene	ID=gene569;Name=ERDMAN_0570;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0570
3234268	11	G	6	1	gene	ID=gene3211;Name=ERDMAN_3212;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3212
1071320	11	G	8	1	gene	ID=gene1062;Name=ERDMAN_1063;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1063
2548086	11	G	9	1	gene	ID=gene2505;Name=sseB;gbkey=Gene;gene=sseB;gene_biotype=protein_coding;locus_tag=ERDMAN_2506
3300061	11	G	10	1	gene	ID=gene3241;Name=ERDMAN_3242;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3242
2369278	11	G	11	1	intergenic/unannotated	NA
1583694	11	G	12	1	gene	ID=gene1573;Name=ribA2;gbkey=Gene;gene=ribA2;gene_biotype=protein_coding;locus_tag=ERDMAN_1574
2987021	11	H	1	1	gene	ID=gene2944;Name=ERDMAN_2945;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2945
432958	11	H	3	1	gene	ID=gene393;Name=PPE8;gbkey=Gene;gene=PPE8;gene_biotype=protein_coding;locus_tag=ERDMAN_0394
2998473	11	H	4	1	gene	ID=gene2956;Name=ERDMAN_2957;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2957
3409411	11	H	5	1	intergenic/unannotated	NA
1126501	11	H	6	1	gene	ID=gene1120;Name=tatD;gbkey=Gene;gene=tatD;gene_biotype=protein_coding;locus_tag=ERDMAN_1121
2189905	11	H	7	1	gene	ID=gene2145;Name=ERDMAN_2146;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2146
1059421	11	H	8	1	intergenic/unannotated	NA
4109068	11	H	10	1	gene	ID=gene4035;Name=cyp137;gbkey=Gene;gene=cyp137;gene_biotype=protein_coding;locus_tag=ERDMAN_4036
248597	11	H	11	1	gene	ID=gene235;Name=ERDMAN_0236;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0236
3033487	11	H	12	1	gene	ID=gene2993;Name=ERDMAN_2994;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2994
3278167	12	A	1	1	gene	ID=gene3225;Name=ERDMAN_3226;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3226
3115758	12	A	3	1	gene	ID=gene3089;Name=csm5;gbkey=Gene;gene=csm5;gene_biotype=protein_coding;locus_tag=ERDMAN_3090
1837933	12	A	4	2	gene	ID=gene1808;Name=tsnR;gbkey=Gene;gene=tsnR;gene_biotype=protein_coding;locus_tag=ERDMAN_1809
3203956	12	A	4	2	gene	ID=gene3185;Name=lppW;gbkey=Gene;gene=lppW;gene_biotype=protein_coding;locus_tag=ERDMAN_3186
3065417	12	A	6	1	gene	ID=gene3034;Name=PE27;gbkey=Gene;gene=PE27;gene_biotype=protein_coding;locus_tag=ERDMAN_3035
1092725	12	A	7	1	gene	ID=gene1085;Name=ERDMAN_1086;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1086
3973756	12	A	8	1	intergenic/unannotated	NA
3476727	12	A	9	1	intergenic/unannotated	NA
1653096	12	A	11	1	gene	ID=gene1638;Name=echA12;gbkey=Gene;gene=echA12;gene_biotype=protein_coding;locus_tag=ERDMAN_1639
1325401	12	A	12	1	gene	ID=gene1326;Name=fadD21;gbkey=Gene;gene=fadD21;gene_biotype=protein_coding;locus_tag=ERDMAN_1327
335511	12	B	1	2	gene	ID=gene309;Name=ERDMAN_0310;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0310
339401	12	B	1	2	gene	ID=gene312;Name=ERDMAN_0313;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0313
2569741	12	B	2	1	intergenic/unannotated	NA
4307963	12	B	3	1	gene	ID=gene4226;Name=ethA;gbkey=Gene;gene=ethA;gene_biotype=protein_coding;locus_tag=ERDMAN_4227
365125	12	B	4	2	gene	ID=gene336;Name=ERDMAN_0337;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0337
3838953	12	B	4	2	gene	ID=gene3761;Name=ERDMAN_3762;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3762
4317531	12	B	5	1	intergenic/unannotated	NA
2788417	12	B	6	1	intergenic/unannotated	NA
1833891	12	B	7	1	gene	ID=gene1804;Name=lysS;gbkey=Gene;gene=lysS;gene_biotype=protein_coding;locus_tag=ERDMAN_1805
1807251	12	B	8	1	gene	ID=gene1781;Name=cydB;gbkey=Gene;gene=cydB;gene_biotype=protein_coding;locus_tag=ERDMAN_1782
1682582	12	B	9	1	gene	ID=gene1667;Name=ERDMAN_1668;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1668
780232	12	B	11	1	gene	ID=gene747;Name=mmpS5;gbkey=Gene;gene=mmpS5;gene_biotype=protein_coding;locus_tag=ERDMAN_0748
3189228	12	B	12	1	intergenic/unannotated	NA
2520567	12	C	1	1	gene	ID=gene2479;Name=ERDMAN_2480;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2480
1012125	12	C	2	1	intergenic/unannotated	NA
1830791	12	C	3	1	gene	ID=gene1803;Name=ERDMAN_1804;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1804
1374989	12	C	4	2	gene	ID=gene1378;Name=ERDMAN_1379;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1379
2149317	12	C	4	2	gene	ID=gene2104;Name=fadB5;gbkey=Gene;gene=fadB5;gene_biotype=protein_coding;locus_tag=ERDMAN_2105
2340823	12	C	5	1	gene	ID=gene2305;Name=pknJ;gbkey=Gene;gene=pknJ;gene_biotype=protein_coding;locus_tag=ERDMAN_2306
277179	12	C	6	1	intergenic/unannotated	NA
3668758	12	C	7	1	gene	ID=gene3614;Name=atsB;gbkey=Gene;gene=atsB;gene_biotype=protein_coding;locus_tag=ERDMAN_3615
2460663	12	C	8	1	intergenic/unannotated	NA
3404736	12	C	9	1	gene	ID=gene3345;Name=ERDMAN_3346;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3346
2751377	12	C	10	1	gene	ID=gene2705;Name=ERDMAN_2706;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2706
636096	12	C	11	1	gene	ID=gene593;Name=menE;gbkey=Gene;gene=menE;gene_biotype=protein_coding;locus_tag=ERDMAN_0594
4211657	12	C	12	1	gene	ID=gene4149;Name=ERDMAN_4150;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4150
3569099	12	D	1	1	intergenic/unannotated	NA
133603	12	D	2	1	gene	ID=gene128;Name=ERDMAN_0129;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0129
3536962	12	D	3	1	gene	ID=gene3481;Name=ERDMAN_3482;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3482
2152193	12	D	4	2	gene	ID=gene2107;Name=aceAb;gbkey=Gene;gene=aceAb;gene_biotype=protein_coding;locus_tag=ERDMAN_2108
456624	12	D	4	2	gene	ID=gene419;Name=ERDMAN_0420;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0420
952434	12	D	7	1	intergenic/unannotated	NA
4256511	12	D	9	1	gene	ID=gene4176;Name=ERDMAN_4177;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4177
174506	12	D	10	1	gene	ID=gene169;Name=ERDMAN_0170;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0170
3595365	12	D	11	1	gene	ID=gene3545;Name=ERDMAN_3546;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3546
2753941	12	D	12	1	gene	ID=gene2707;Name=tig;gbkey=Gene;gene=tig;gene_biotype=protein_coding;locus_tag=ERDMAN_2708
3353015	12	E	1	1	gene	ID=gene3293;Name=ERDMAN_3294;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3294
1532315	12	E	2	1	gene	ID=gene1523;Name=ERDMAN_1524;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1524
114035	12	E	3	1	gene	ID=gene117;Name=nrp;gbkey=Gene;gene=nrp;gene_biotype=protein_coding;locus_tag=ERDMAN_0118
2215593	12	E	4	1	gene	ID=gene2179;Name=nrdF;gbkey=Gene;gene=nrdF;gene_biotype=protein_coding;locus_tag=ERDMAN_2180
3942501	12	E	5	1	gene	ID=gene3863;Name=ERDMAN_3864;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3864
1377863	12	E	6	1	gene	ID=gene1381;Name=sugA;gbkey=Gene;gene=sugA;gene_biotype=protein_coding;locus_tag=ERDMAN_1382
551296	12	E	8	1	gene	ID=gene501;Name=ERDMAN_0502;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0502
3791618	12	E	9	1	gene	ID=gene3712;Name=ERDMAN_3713;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3713
