TA	6-10_Pi_Input3_S3	6-10_Pi_input1_S1	6-10_Pi_input2_S2	6-10_Pi_ctrl1_S4	6-10_Pi_ctrl2_S5	6-10_Pi_ctrl3_S6	6-10_Pi_CI1_S7	6-10_Pi_CI2_S8	6-10_Pi_CI3_S9	6-10_Pi_RI1_S10	6-10_Pi_RI2_S11	6-10_Pi_RI3_S12
2602299	15317	11907	14379	15879	16071	18876	19434	16549	19188	20702	19660	19752
2527615	11540	8902	11296	13770	14044	12118	12876	11820	13140	17349	14874	15795
1582182	18030	13115	19665	18772	15844	16396	16467	13481	15327	17422	16344	16454
1337068	12115	12337	14406	13840	14385	13637	16812	13580	15513	16845	17007	16718
2815878	11950	11120	10853	7197	7805	7499	5297	4688	4937	4448	3798	4217
2020079	11580	10006	11984	17404	18518	18629	21319	17297	19779	27156	27050	25691
670832	14542	11335	15295	16245	15854	17623	18968	15032	17332	17951	17796	17430
4269476	20835	14632	18180	13705	15851	15969	16515	13367	15353	14822	15545	14074
1839331	10786	9163	12036	15463	13713	15049	15933	12875	14336	15210	16008	13972
3954146	10634	8863	10731	11102	11195	11429	12360	10394	12120	13588	13833	13367
2095133	13213	11507	13557	17829	18729	18168	20686	16995	19232	18490	15345	15947
2016955	11324	9977	12051	17338	18582	18461	21295	17434	19849	26710	27593	25917
2381470	9630	7673	9342	12683	12158	12376	13287	10942	12757	15124	15500	14621
2575914	18024	13229	16393	19890	22929	23466	24309	19310	22628	25213	25365	24826
115865	15228	13366	14709	16143	16241	15779	19108	15014	17655	19068	19777	17194
868408	11869	11003	12860	14621	15031	15300	17191	14527	16352	17696	18196	16717
2084696	14306	11280	15710	16075	18406	16594	18171	14651	17067	17721	16536	16806
551129	9717	10339	10765	9321	9674	9882	5484	4255	5929	1523	1353	1722
171909	15941	12832	15391	16131	17530	17193	19402	16363	18486	19245	19036	18660
2126698	17489	14066	17904	17617	15721	20248	16087	14076	15053	11373	10889	10379
257847	15680	13388	15769	16487	18073	17405	19925	16209	18466	20467	20934	17953
1614285	11920	9936	11233	14563	14085	15155	15408	12617	14368	15764	16037	14140
1586557	19246	15085	18826	22675	24565	23410	26426	22190	24108	28918	29184	28888
3731656	16779	14868	18867	17713	18514	22352	20581	17904	19858	20655	21515	19919
1149362	15582	12508	14756	17079	17938	17102	21315	17429	19803	19774	21019	22005
3357438	18799	15052	18895	14524	15917	16731	21335	17359	19806	14700	14883	13676
2439677	20059	15863	19813	23512	26393	24843	25129	20866	24815	25958	26191	24794
658617	19509	14379	20620	22797	20183	22039	23642	19848	22576	25259	25660	29021
4165288	14409	12820	15477	15511	18786	17392	19537	16588	17443	18889	18211	17952
1527458	16549	12578	15677	18093	17735	19121	20091	17688	18529	19279	20879	22337
2041961	13634	12802	15167	19190	17917	19105	20536	16383	17871	32262	33278	31899
2340122	15512	13859	16203	9701	10294	9417	19223	16408	19109	15877	17040	15620
426518	16021	12280	14446	17348	15737	17001	17332	15571	16421	18955	19610	17658
3892753	17325	13399	16958	16890	18624	17213	20469	17572	19181	20965	21268	20578
231081	19402	15368	17110	26110	22453	21287	24263	19763	21881	25596	25615	30298
3541464	22609	16935	22134	27701	24716	24468	28828	23912	26068	29637	29464	27718
383775	12079	10020	11204	12449	13343	13597	13850	12108	13342	14925	13732	12861
428341	20858	19071	21986	24032	22466	24899	25222	21952	24779	25322	27671	24420
1562837	17915	14354	20174	20224	22238	21392	23471	19720	22481	24705	23623	23662
80328	20137	17720	20268	19977	21761	22249	23373	19921	21735	25619	25182	26089
4080373	17134	14196	17176	11612	10302	9361	11553	11346	10498	13054	12786	14070
3827301	15163	14588	16235	16010	17238	17188	19277	15311	17945	20125	19015	17991
1728753	16756	13795	19243	19912	21626	21605	22865	18791	21418	23200	21314	22546
2041579	13941	12743	14325	17741	16834	17918	19399	15191	17510	26985	29669	28487
1689457	24116	17755	26014	28864	31237	30360	33834	28453	31306	34308	36358	32337
702034	13938	10629	13865	16395	15494	16244	17737	14385	16848	16988	17929	16918
4287283	21521	17752	19960	21804	22068	22969	26445	22549	25115	27683	26436	25800
4038898	17426	15315	17336	22873	22827	21737	26103	20333	23186	23443	23722	22559
481556	21516	18159	20416	20801	22789	25329	26034	21321	24481	28249	27181	25556
760335	18963	16351	19257	19643	20202	18794	23028	20164	20396	20948	20374	21000
2891376	20268	17656	19777	27557	23738	25612	26048	22775	25613	27037	27459	26052
1354715	11668	10749	11779	10322	10786	10757	12017	10275	10684	12731	9739	10542
274022	17482	16029	18151	17864	17570	19760	21304	16748	19502	21053	20742	19951
830825	13213	12308	13528	17019	16571	17113	19296	16305	18147	21030	20932	19276
2214028	23232	18239	23094	25719	26902	26308	28191	24058	27541	27025	27703	29829
3295598	17711	15763	18178	20977	21922	22122	24602	20323	22065	25049	25952	25687
291393	18648	15833	19554	34435	27686	26663	29978	25652	27661	32419	32516	31502
116754	23072	17591	22380	29826	25833	28218	29556	23716	26907	30138	29235	28000
223427	16869	13131	16339	15804	16872	15724	19864	15949	17706	19341	19599	18371
3535205	20640	17705	20292	20981	22321	22231	25289	20745	23152	24968	25539	23820
2792810	6231	5638	6439	8040	8238	6921	8214	6509	7847	8132	8777	8927
3151023	14719	12320	13036	15735	16447	15941	18147	15133	16986	19559	18591	18347
1799340	20086	16160	22186	22051	23444	25089	22917	19858	20840	24509	24305	22897
1027769	17120	14241	15702	20047	19789	19302	21993	17270	20185	22068	22315	24048
625540	8508	6527	8179	10209	11183	10404	11265	9199	11097	11718	12022	11234
3594280	21401	17386	21552	24380	25526	24553	25855	21303	24631	22579	22149	21469
3102298	23928	19415	23529	29244	28983	25148	27978	25931	29084	28063	31669	31108
2129211	20749	17020	20192	27075	23369	27081	27606	22688	25106	24182	25585	25364
3973653	17467	14881	16509	92405	91406	91416	96022	78934	86031	137975	147416	136781
3655722	18465	16725	18231	21831	22070	22562	26369	21327	23824	26698	26386	25066
1542918	22998	19908	23456	23740	24413	27128	27280	22030	25367	26277	26182	24790
2072464	19063	16628	19365	21924	21582	22479	24476	20771	23637	26489	25246	23586
475940	17549	13246	15712	17131	17540	18971	20912	17016	19704	20523	22293	19554
718684	19513	15402	18161	23647	21800	23136	25524	21150	24335	24724	24511	24458
315224	21384	18082	24318	18077	17441	18056	16114	12143	14629	16906	15737	15029
1533281	21575	19897	22653	23886	23034	24333	26305	21742	25337	26721	26967	25632
4171671	25236	21273	23758	22331	23614	21454	26457	22216	24076	26074	26951	24908
2328820	22227	20418	21609	26610	27211	25811	28064	23664	26516	27967	28843	25756
2258759	23488	17838	22743	25946	25296	24678	27447	22807	26285	29198	29375	27219
3883203	29877	22638	28287	31808	31619	33480	33993	28582	31934	35375	33922	33288
1412697	19508	16568	21193	21615	22543	21599	25218	20287	23692	23035	23972	22327
863204	25022	20386	23312	30394	31375	30978	33757	27260	31195	32782	33510	32991
2782225	18560	14425	16899	21354	21890	21439	22477	19610	20738	22392	22853	22652
1006455	23757	18585	22104	35518	33173	39138	39132	32261	35582	37465	37058	34373
2525251	22344	19183	24484	25741	27319	28472	30057	24174	28081	31104	31834	29235
1598361	26249	21664	27575	30383	34161	33943	36425	30556	33369	36153	34648	34465
1072532	30049	24130	28858	35443	33325	34098	39105	31748	36182	37778	38044	37127
3150846	18344	15175	17571	21537	23746	25711	25467	21675	23722	26579	26988	25546
2445923	24629	19174	25278	28713	28320	27440	33881	26232	30430	30421	29759	31935
3903496	16826	14507	18430	16667	16715	17012	15946	13342	15447	15844	15502	14439
3880230	28418	23417	27225	30151	32585	30701	33185	28073	31726	33849	32973	33381
1378175	35441	27344	37126	80228	68253	67908	66168	56698	61984	67055	62325	63296
4354899	23413	18851	24034	21970	19844	22307	24045	21133	22515	25738	25545	24684
3661068	27805	23035	26158	30422	28758	31849	34369	29487	31109	34687	35501	32824
2195293	28740	24987	29205	34651	34280	34828	38565	32554	36966	38328	41689	38964
821240	25311	21166	27201	26149	28800	27006	31022	26197	29068	31009	30474	29065
1269339	31756	27763	35789	38972	38700	43249	44765	36180	41205	44275	44868	42525
4178875	38567	29733	36047	38546	40454	42398	44656	37339	42746	43941	40467	43078
3911492	39142	31457	44654	33338	38067	35960	34919	28942	34761	34696	32083	31870
3936819	35160	26856	35296	40271	41832	43063	43431	36212	42102	46729	45519	42663
4343509	28473	25449	27747	26396	24481	24632	38284	31309	34889	74316	80789	76801
2485514	30899	29336	30652	35144	37430	38311	41796	36464	40942	42443	40595	38896
1572668	30693	26185	27659	23695	22829	23961	19959	16165	18085	15297	15964	13739
3715258	38131	35478	41150	45011	46801	50354	49156	40909	47392	49271	50884	50020
1755373	36835	30604	37295	42489	42802	44428	50021	39830	46334	49732	50331	47468
1701496	42872	33980	43111	48400	48253	48238	52297	44600	50096	52193	52742	51511
2122177	48462	40533	51394	58800	59067	57931	63426	51636	60700	62150	59634	58454
2998469	49090	35152	50515	27354	30397	26812	22727	17201	21463	21880	23644	27382
2213962	59478	52728	64915	69595	69753	67280	75130	63954	70787	74812	75387	68785
1480360	42964	36062	47055	52374	53201	53836	58864	47834	56137	58341	58415	55122
2307678	65203	55524	70405	83055	83057	82872	82150	69640	78080	86690	78965	78012
